"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Renaud Ripart,Troyes,1993,28,47,0.27,0.07,0.34,0.24,0.13
Rodrigo Riquelme,Girona,2000,116,85,0.17,0.17,0.33,0.17,0.15
Sergi Roberto,Barcelona,1992,47,97,0.28,0.07,0.34,0.17,0.06
Lucas Robertone,Almer�a,1997,47,155,0.06,0.22,0.28,0.08,0.21
Marc Roca,Leeds United,1996,25,172,0.04,0.08,0.12,0.08,0.11
Sebastian Rode,Eint Frankfurt,1990,23,105,0.25,0.06,0.32,0.06,0.06
Rodri,Manchester City,1996,76,260,0.06,0.19,0.25,0.14,0.13
Rodrigo,Leeds United,1991,40,44,0.6,0.05,0.65,0.38,0.08
Rodrigo,Betis,2000,57,102,0.11,0.17,0.28,0.08,0.12
Dani Rodr�guez,Mallorca,1988,43,76,0.13,0.26,0.39,0.1,0.14
Miguel Rodr�guez,Celta Vigo,2003,10,6,0.36,0.36,0.71,0.07,0.05
Rodrygo,Real Madrid,2001,146,81,0.34,0.3,0.64,0.52,0.26
Rog�rio,Sassuolo,1998,110,185,0,0.09,0.09,0.02,0.08
Merlin R�hl,Freiburg,2002,2,1,0,1.58,1.58,0,0.73
Cristian Romero,Tottenham,1998,19,92,0,0.04,0.04,0.06,0.05
Oriol Romeu,Girona,1991,15,133,0.06,0,0.06,0.05,0.03
Cristiano Ronaldo,Manchester United,1985,9,12,0.17,0,0.17,0.32,0.07
Valentin Rongier,Marseille,1994,57,238,0.03,0.06,0.09,0.05,0.08
Marten de Roon,Atalanta,1991,18,171,0.09,0.03,0.12,0.03,0.06
Joe Rothwell,Bournemouth,1995,12,33,0,0.09,0.09,0.01,0.09
Anthony Rouault,Toulouse,2001,10,136,0.05,0.03,0.08,0.09,0.02
Nicol� Rovella,Monza,2001,26,99,0.05,0.1,0.16,0.06,0.11
Amir Rrahmani,Napoli,1994,23,135,0.07,0.04,0.11,0.07,0.04
Matteo Ruggeri,Atalanta,2002,22,55,0,0.11,0.11,0.06,0.1
M�rio Rui,Napoli,1991,52,153,0,0.31,0.31,0.03,0.2
Fabi�n Ruiz Pe�a,Paris S-G,1996,32,128,0.14,0.1,0.24,0.13,0.1
Georginio Rutter,Leeds United,2002,5,6,0,0.33,0.33,0.13,0.1
Georginio Rutter,Hoffenheim,2002,32,25,0.18,0.18,0.36,0.27,0.21
Julian Ryerson,Dortmund,1997,54,55,0.06,0.06,0.13,0.03,0.1
Youssouf Sabaly,Betis,1993,41,72,0.05,0.05,0.11,0.02,0.04
Marcel Sabitzer,Bayern Munich,1994,7,52,0.14,0.14,0.29,0.15,0.05
Falaye Sacko,Montpellier,1995,50,76,0.03,0.1,0.14,0.03,0.04
Alexis Saelemaekers,Milan,1999,52,52,0.13,0.19,0.32,0.16,0.27
Allan Saint-Maximin,Newcastle United,1997,93,69,0.08,0.4,0.48,0.13,0.37
Th�o Sainte-Luce,Montpellier,1998,5,14,0.17,0.17,0.34,0.07,0.13
Bukayo Saka,Arsenal,2001,179,109,0.4,0.31,0.71,0.32,0.24
Hamza Sakhi,Auxerre,1996,43,135,0.05,0.11,0.16,0.09,0.17
Mohamed Salah,Liverpool,1992,120,149,0.52,0.33,0.85,0.59,0.21
Amine Salama,Angers,2000,35,21,0.22,0.07,0.29,0.22,0.11
William Saliba,Arsenal,2001,13,99,0.07,0.04,0.11,0.03,0.04
Roland Sallai,Freiburg,1997,22,17,0.09,0.27,0.36,0.24,0.11
Lazar Samardzic,Udinese,2002,34,100,0.24,0.19,0.44,0.12,0.18
Mama Samba Bald�,Troyes,1995,51,56,0.41,0.1,0.51,0.36,0.07
Junior Sambia,Salernitana,1996,23,27,0,0.13,0.13,0.08,0.21
Samuel,Valencia,1999,144,93,0.19,0.03,0.22,0.24,0.07
Antonio Sanabria,Torino,1996,17,46,0.44,0.15,0.59,0.34,0.11
Oihan Sancet,Athletic Club,2000,91,159,0.36,0.07,0.43,0.27,0.15
Alexis S�nchez,Marseille,1988,42,127,0.47,0.1,0.57,0.42,0.2
Iv�n S�nchez,Valladolid,1992,58,65,0.08,0.08,0.16,0.06,0.12
Jadon Sancho,Manchester United,2000,88,76,0.32,0.16,0.48,0.22,0.27
Leroy San�,Bayern Munich,1996,77,134,0.36,0.31,0.67,0.38,0.19
Morgan Sanson,Strasbourg,1994,43,60,0.06,0.13,0.19,0.2,0.14
Nicola Sansone,Bologna,1991,17,13,0.49,0.24,0.73,0.34,0.12
Riccardo Saponara,Fiorentina,1991,56,56,0.3,0.22,0.52,0.21,0.26
Muhammed Saracevic Cham,Clermont Foot,2000,71,106,0.32,0.18,0.5,0.27,0.14
Amin Sarr,Lyon,2001,12,9,0.17,0.17,0.34,0.21,0.07
Martin Satriano,Empoli,2001,29,22,0.11,0.05,0.16,0.2,0.07
T�ji Savanier,Montpellier,1991,48,205,0.42,0.14,0.57,0.3,0.21
Giorgio Scalvini,Atalanta,2003,22,158,0.08,0.08,0.15,0.08,0.01
Fabian Sch�r,Newcastle United,1991,27,139,0.03,0.08,0.11,0.14,0.09
Patrik Schick,Leverkusen,1996,8,11,0.29,0.1,0.38,0.44,0.05
Xaver Schlager,RB Leipzig,1997,23,77,0.06,0.06,0.12,0.02,0.04
Nico Schlotterbeck,Dortmund,1999,39,159,0.16,0.2,0.36,0.06,0.07
Jeffrey Schlupp,Crystal Palace,1992,32,98,0.11,0.04,0.14,0.11,0.05
Romano Schmid,Werder Bremen,2000,34,75,0.06,0.18,0.24,0.09,0.12
Haris Seferovi?,Celta Vigo,1992,12,17,0.3,0.1,0.41,0.19,0.05
Paul Seguin,Union Berlin,1995,13,49,0.13,0.39,0.52,0.16,0.26
Davie Selke,Hertha BSC,1995,3,5,0.32,0.32,0.64,0.39,0.28
Marcos Senesi,Bournemouth,1997,9,66,0.07,0,0.07,0.06,0.02
Stefano Sensi,Monza,1995,27,143,0.17,0.06,0.22,0.08,0.12
Suat Serdar,Hertha BSC,1997,33,78,0.18,0.09,0.27,0.09,0.07
Leonardo Sernicola,Cremonese,1997,60,62,0.08,0.08,0.16,0.05,0.09
Stephan El Shaarawy,Roma,1992,58,66,0.41,0.12,0.53,0.33,0.08
Luke Shaw,Manchester United,1995,53,140,0.04,0.07,0.11,0.04,0.13
Eldor Shomurodov,Spezia,1995,7,15,0.11,0.11,0.22,0.31,0.15
Andr� Silva,RB Leipzig,1995,35,37,0.21,0.16,0.36,0.47,0.15
Bernardo Silva,Manchester City,1994,90,130,0.16,0.2,0.37,0.09,0.13
Caio Henrique Oliveira Silva,Monaco,1997,56,197,0.03,0.28,0.31,0.02,0.16
David Silva,Real Sociedad,1986,70,162,0.09,0.23,0.33,0.18,0.17
Abdallah Sima,Angers,2001,38,21,0.25,0.05,0.29,0.24,0.11
Mohamed Simakan,RB Leipzig,2000,32,88,0.06,0.06,0.12,0.1,0.08
Giovanni Simeone,Napoli,1995,11,9,0.88,0.22,1.11,0.3,0.26
Moses Simon,Nantes,1995,138,62,0.19,0.15,0.35,0.18,0.14
Lassine Sinayoko,Auxerre,1999,49,74,0.06,0.11,0.17,0.18,0.16
Wilfried Singo,Torino,2000,54,67,0.09,0.04,0.13,0.12,0.08
Ibrahima Sissoko,Strasbourg,1997,18,67,0,0.14,0.14,0.05,0.06
Tim Skarke,Schalke 04,1996,4,13,0.2,0.2,0.41,0.11,0.17
Ellyes Skhiri,Koln,1995,50,155,0.22,0.03,0.25,0.17,0.06
Robert Skov,Hoffenheim,1996,43,49,0.2,0.13,0.33,0.23,0.12
Islam Slimani,Brest,1988,11,26,0.09,0.09,0.18,0.23,0.11
Chris Smalling,Roma,1989,5,51,0.1,0.03,0.13,0.05,0.01
Eduard Sobol,Strasbourg,1995,16,34,0,0.1,0.1,0.01,0.08
Rub�n Sobrino,Cediz,1992,45,46,0.11,0.07,0.18,0.18,0.08
Dominic Solanke,Bournemouth,1997,70,47,0.19,0.22,0.41,0.29,0.12
Ola Solbakken,Roma,1998,5,14,0.18,0.36,0.54,0.11,0.29
Carlos Soler,Paris S-G,1997,18,53,0.23,0.15,0.38,0.12,0.11
Brandon Soppy,Atalanta,2002,23,33,0,0.42,0.42,0.05,0.23
Roberto Soriano,Bologna,1991,30,56,0.07,0.2,0.27,0.04,0.17
Borna Sosa,Stuttgart,1998,58,128,0.09,0.32,0.41,0.05,0.3
Florian Sotoca,Lens,1990,53,186,0.21,0.27,0.47,0.31,0.24
Tom� Sou?ek,West Ham,1995,11,88,0.06,0.1,0.16,0.13,0.06
Dyego Sousa,Almer�a,1989,10,16,0,0.17,0.17,0.2,0.17
Harry Souttar,Leicester City,1998,6,29,0,0.09,0.09,0.13,0.02
Vinicius Souza,Espanyol,1999,13,82,0.04,0.04,0.07,0.03,0.02
Leonardo Spinazzola,Roma,1993,107,63,0.05,0.22,0.27,0.06,0.11
Anton Stach,Mainz 05,1998,37,106,0.04,0.17,0.22,0.1,0.16
Jens Stage,Werder Bremen,1996,19,61,0.15,0.15,0.29,0.15,0.09
Pascal Stenzel,Stuttgart,1996,3,13,0,0.27,0.27,0.01,0.16
Raheem Sterling,Chelsea,1994,81,59,0.29,0.14,0.43,0.29,0.22
Angelo Stiller,Hoffenheim,2001,4,34,0.13,0.13,0.26,0.04,0.06
Lars Stindl,M'Gladbach,1988,22,77,0.42,0.36,0.78,0.26,0.32
Kevin St�ger,Bochum,1993,43,214,0.17,0.1,0.28,0.15,0.2
John Stones,Manchester City,1994,28,101,0.1,0.1,0.2,0.05,0.07
J�rgen Strand Larsen,Celta Vigo,2000,17,14,0.21,0.21,0.42,0.3,0.11
Gabriel Strefezza,Lecce,1997,72,107,0.29,0.15,0.44,0.23,0.16
Pascal Struijk,Leeds United,1999,24,119,0.08,0.04,0.12,0.06,0.1
Dami�n Su�rez,Getafe,1988,21,80,0.05,0.05,0.09,0.05,0.08
Gabriel Suazo,Toulouse,1997,26,79,0,0.07,0.07,0.01,0.06
Isaac Success,Udinese,1996,37,53,0.05,0.3,0.35,0.17,0.2
Niklas S�le,Dortmund,1995,37,137,0.08,0.13,0.21,0.09,0.09
Kamaldeen Sulemana,Southampton,2002,32,36,0.19,0.09,0.28,0.16,0.12
Crysencio Summerville,Leeds United,2001,51,45,0.25,0.13,0.38,0.18,0.1
Suso,Sevilla,1993,27,86,0.17,0.34,0.51,0.1,0.24
Mattias Svanberg,Wolfsburg,1999,29,74,0.2,0.29,0.49,0.22,0.25
Issiaga Sylla,Montpellier,1994,28,82,0.07,0.21,0.28,0.05,0.14
Dominik Szoboszlai,RB Leipzig,2000,75,151,0.22,0.29,0.52,0.2,0.3
Alexander S�rloth,Real Sociedad,1995,41,20,0.45,0.11,0.57,0.48,0.16
Nicol�s Tagliafico,Lyon,1992,38,156,0.03,0.09,0.12,0.07,0.13
Flavien Tait,Rennes,1993,52,154,0.11,0.11,0.21,0.13,0.12
Montassar Talbi,Lorient,1998,13,61,0.03,0.05,0.08,0.02,0.01
Renato Tapia,Celta Vigo,1995,12,68,0,0,0,0.06,0.07
Edmond Tapsoba,Leverkusen,1999,40,169,0.03,0,0.03,0.09,0.03
Florian Tardieu,Troyes,1992,20,83,0.27,0,0.27,0.26,0.09
James Tarkowski,Everton,1992,13,106,0.03,0.03,0.05,0.08,0.08
Marcus Tavernier,Bournemouth,1999,67,56,0.26,0.21,0.46,0.16,0.15
Enzo Tchato,Montpellier,2002,25,34,0.08,0.08,0.16,0.03,0.09
Ram�n Terrats,Villarreal,2000,21,45,0.11,0.11,0.22,0.1,0.16
Martin Terrier,Rennes,1997,34,60,0.61,0.27,0.89,0.38,0.23
Aleksa Terzi?,Fiorentina,1999,49,40,0.1,0.1,0.19,0.04,0.18
Tet�,Lyon,2000,49,52,0.49,0.16,0.65,0.35,0.1
Kenny Tete,Fulham,1995,75,103,0.04,0.18,0.21,0.02,0.07
Jan Thielmann,Koln,2002,27,19,0.21,0.21,0.41,0.11,0.09
Sada Thioub,Angers,1995,23,57,0.08,0.17,0.25,0.11,0.16
Adrien Thomasson,Lens,1993,17,49,0.35,0.35,0.7,0.21,0.19
Kristian Thorstvedt,Sassuolo,1999,31,60,0.16,0.08,0.24,0.17,0.09
Kh�phren Thuram,Nice,2001,92,128,0.07,0.14,0.21,0.11,0.18
Marcus Thuram,M'Gladbach,1997,75,46,0.47,0.21,0.68,0.59,0.19
Youri Tielemans,Leicester City,1997,35,181,0.12,0.08,0.19,0.1,0.18
Steffen Tigges,Koln,1998,20,31,0.34,0.06,0.39,0.28,0.11
Karl Toko Ekambi,Rennes,1992,30,21,0.28,0.19,0.46,0.33,0.13
Karl Toko Ekambi,Lyon,1992,58,36,0.27,0.13,0.4,0.3,0.2
Corentin Tolisso,Lyon,1994,32,230,0.04,0.09,0.13,0.08,0.2
Rafael Tol�i,Atalanta,1990,21,148,0.06,0.03,0.1,0.09,0.04
Tiago Tom�s,Stuttgart,2002,31,25,0.21,0.21,0.42,0.2,0.25
Fikayo Tomori,Milan,1997,26,122,0.03,0.03,0.07,0.04,0.03
Sandro Tonali,Milan,2000,61,159,0.07,0.23,0.3,0.08,0.19
Ivan Toney,Brentford,1996,14,79,0.61,0.12,0.73,0.57,0.15
Ferr�n Torres,Barcelona,2000,43,44,0.26,0.13,0.39,0.32,0.26
�liver Torres,Sevilla,1994,38,136,0.13,0.04,0.17,0.11,0.14
Lucas Torr�,Osasuna,1994,12,98,0.04,0,0.04,0.05,0.01
Souleymane Tour�,Auxerre,2003,11,45,0.06,0,0.06,0.08,0.02
Lucas Tousart,Hertha BSC,1997,37,93,0.15,0.06,0.21,0.11,0.06
Adama Traor�,Wolves,1996,85,36,0.12,0.06,0.18,0.08,0.23
Hamari Traor�,Rennes,1992,55,159,0.04,0.14,0.18,0.07,0.09
�scar Trejo,Rayo Vallecano,1988,56,123,0.13,0.17,0.29,0.14,0.14
Kieran Trippier,Newcastle United,1990,45,260,0.03,0.19,0.22,0.02,0.33
Leandro Trossard,Arsenal,1994,36,57,0.1,0.97,1.06,0.18,0.46
Leandro Trossard,Brighton,1994,40,67,0.48,0.14,0.62,0.3,0.14
Frank Tsadjout,Cremonese,1999,15,18,0.26,0.09,0.34,0.17,0.05
Viktor Tsyhankov,Girona,1997,63,46,0.18,0.36,0.54,0.17,0.17
Tuta,Eint Frankfurt,1999,23,107,0.07,0.03,0.1,0.08,0.03
Iyenoma Udogie,Udinese,2002,109,106,0.1,0.13,0.23,0.1,0.14
Ike Ugbo,Troyes,1998,9,8,0.2,0.1,0.3,0.22,0.05
Enes �nal,Getafe,1997,29,55,0.42,0.09,0.52,0.36,0.11
Cengiz �nder,Marseille,1997,69,115,0.18,0.14,0.33,0.3,0.29
Jere Uronen,Brest,1994,3,15,0,0.3,0.3,0.01,0.06
Josha Vagnoman,Stuttgart,2000,27,43,0.12,0.12,0.24,0.18,0.1
Emanuele Valeri,Cremonese,1998,111,90,0.06,0.1,0.16,0.07,0.15
Enrique Valiente,Sevilla,2002,3,14,0.24,0.24,0.49,0.04,0.05
Manu Vallejo,Girona,1997,7,10,0,0.44,0.44,0.01,0.12
Federico Valverde,Real Madrid,1998,70,151,0.25,0.14,0.4,0.15,0.23
Virgil van Dijk,Liverpool,1991,10,127,0.1,0.03,0.13,0.08,0.04
Vanderson,Monaco,2001,50,108,0.04,0.16,0.2,0.1,0.14
Jamie Vardy,Leicester City,1987,16,14,0.15,0.19,0.34,0.33,0.07
Ruben Vargas,Augsburg,1998,32,42,0.24,0.32,0.56,0.09,0.18
Lucas V�zquez,Real Madrid,1991,31,50,0.31,0.08,0.39,0.15,0.13
Gabriel Veiga,Celta Vigo,2002,68,109,0.43,0.16,0.59,0.24,0.1
Milo� Veljkovi?,Werder Bremen,1995,5,81,0.04,0.08,0.12,0.02,0.03
Jo�l Veltman,Brighton,1992,43,153,0.04,0.04,0.08,0.07,0.03
Micky van de Ven,Wolfsburg,2001,43,111,0.03,0.03,0.06,0.04,0.04
Jordan Veretout,Marseille,1993,59,248,0.13,0.09,0.22,0.12,0.12
Mikel Vesga,Athletic Club,1993,26,199,0.1,0.1,0.21,0.14,0.05
Fabio Vieira,Arsenal,2000,8,35,0.18,0.35,0.53,0.15,0.44
Tonny Vilhena,Salernitana,1995,30,80,0.16,0.04,0.2,0.1,0.07
Toni Villa,Girona,1995,37,38,0.1,0.3,0.4,0.1,0.16
Gonzalo Villar,Getafe,1998,13,27,0,0,0,0.02,0.06
Mat�as Vi�a,Bournemouth,1997,10,17,0.39,0,0.39,0.17,0.03
Carlos Vin�cius,Fulham,1995,9,15,0.41,0.16,0.57,0.27,0.06
Vitinha,Marseille,2000,3,9,0.39,0,0.39,0.77,0.03
Vitinha,Paris S-G,2000,50,137,0.07,0.11,0.18,0.11,0.11
Du�an Vlahovi?,Juventus,2000,22,40,0.47,0.09,0.56,0.45,0.11
Nikola Vla�i?,Torino,1997,85,106,0.16,0.2,0.36,0.14,0.14
M�rgim Vojvoda,Torino,1995,30,125,0,0.26,0.26,0.08,0.19
Kevin Volland,Monaco,1992,6,31,0.42,0.28,0.7,0.25,0.23
Cristian Volpato,Roma,2003,8,18,0.4,0.4,0.79,0.14,0.47
Stefan de Vrij,Inter,1992,13,55,0.05,0,0.05,0.1,0.01
Elye Wahi,Montpellier,2003,57,25,0.68,0.18,0.86,0.44,0.13
Theo Walcott,Southampton,1989,21,14,0.16,0.16,0.32,0.18,0.16
Kyle Walker-Peters,Southampton,1997,102,97,0.03,0,0.03,0.03,0.05
Joel Ward,Crystal Palace,1989,22,101,0.04,0,0.04,0.04,0.02
James Ward-Prowse,Southampton,1994,19,189,0.24,0.11,0.35,0.15,0.17
Ollie Watkins,Aston Villa,1995,50,39,0.43,0.17,0.6,0.47,0.11
Wout Weghorst,Manchester United,1992,3,17,0,0.11,0.11,0.23,0.13
Mitchell Weiser,Werder Bremen,1994,62,120,0.07,0.32,0.39,0.09,0.2
Danny Welbeck,Brighton,1990,31,49,0.29,0.15,0.44,0.46,0.21
Timo Werner,RB Leipzig,1996,65,51,0.42,0.14,0.56,0.42,0.15
Ben White,Arsenal,1997,64,249,0.06,0.15,0.21,0.04,0.09
Silvan Widmer,Mainz 05,1993,14,54,0.11,0.11,0.21,0.13,0.11
I�aki Williams,Athletic Club,1994,127,61,0.32,0.1,0.41,0.34,0.15
Nico Williams,Athletic Club,2002,174,80,0.2,0.14,0.34,0.17,0.22
Willian,Fulham,1988,97,113,0.21,0.21,0.42,0.14,0.19
Joe Willock,Newcastle United,1999,97,121,0.11,0.21,0.32,0.25,0.21
Callum Wilson,Newcastle United,1992,27,19,0.86,0.24,1.1,0.84,0.13
Harry Wilson,Fulham,1997,18,37,0.16,0.25,0.41,0.16,0.07
Patrick Wimmer,Wolfsburg,2001,42,64,0.22,0.44,0.66,0.24,0.27
Florian Wirtz,Leverkusen,2003,36,80,0.08,0.5,0.58,0.06,0.32
Yoane Wissa,Brentford,1996,24,27,0.39,0.17,0.56,0.32,0.14
Hannes Wolf,M'Gladbach,1999,12,13,0.2,0.2,0.4,0.29,0.05
Marius Wolf,Dortmund,1995,60,91,0.06,0.06,0.11,0.07,0.16
Jeong Woo-yeong,Freiburg,1999,18,19,0.14,0.14,0.28,0.29,0.17
Joe Worrall,Nott'ham Forest,1997,5,67,0.04,0,0.04,0.03,0.03
Granit Xhaka,Arsenal,1992,42,196,0.21,0.21,0.42,0.14,0.16
Yusuf Yaz?c?,Lille,1997,5,17,0.45,0.45,0.9,0.07,0.26
Kelvin Yeboah,Augsburg,2000,13,6,0.25,0.25,0.51,0.36,0.1
Darlin Yongwa,Lorient,2000,29,24,0.12,0.12,0.23,0.08,0.19
Mattia Zaccagni,Lazio,1995,118,76,0.32,0.19,0.52,0.22,0.15
Wilfried Zaha,Crystal Palace,1992,86,75,0.28,0.08,0.35,0.26,0.11
Rodrigo Zalazar,Schalke 04,1999,26,34,0.07,0.41,0.48,0.21,0.31
Nicola Zalewski,Roma,2002,92,85,0.08,0.04,0.12,0.05,0.05
Andre-Frank Zambo Anguissa,Napoli,1995,58,181,0.09,0.15,0.24,0.13,0.08
Alessandro Zanoli,Sampdoria,2000,50,36,0.12,0.18,0.29,0.15,0.07
Duv�n Zapata,Atalanta,1991,35,40,0.13,0.13,0.26,0.25,0.07
Davide Zappacosta,Atalanta,1992,48,55,0.24,0.12,0.37,0.09,0.1
Marvin Zeegelaar,Udinese,1990,6,9,0.25,0,0.25,0.05,0.04
Mehdi Zeffane,Clermont Foot,1992,9,18,0.14,0.14,0.27,0.15,0.1
Edon Zhegrova,Lille,1999,74,52,0.26,0.34,0.6,0.31,0.39
Piotr Zieli?ski,Napoli,1994,62,128,0.12,0.31,0.43,0.14,0.29
Oleksandr Zinchenko,Arsenal,1996,67,227,0.04,0.08,0.13,0.06,0.06
Joshua Zirkzee,Bologna,2001,10,17,0.22,0.22,0.44,0.34,0.15
Simon Zoller,Bochum,1991,10,21,0.19,0.12,0.31,0.26,0.07
Igor Zubeldia,Real Sociedad,1997,14,128,0.04,0.04,0.07,0.03,0.01
Mart�n Zubimendi,Real Sociedad,1999,43,184,0.03,0.09,0.12,0.06,0.06
Martin �degaard,Arsenal,1998,83,266,0.43,0.2,0.63,0.29,0.23
Milan ?uri?,Hellas Verona,1990,2,29,0.07,0.07,0.13,0.09,0.08